role_label,count,mean,std,min,25%,50%,75%,max
ARG0,392.0,4.073979591836735,1.0350069397406674,0.0,4.0,4.0,5.0,5.0
ARG1,520.0,4.551923076923077,0.9781801325526706,0.0,4.0,5.0,5.0,5.0
ARG2,95.0,4.4,1.3160223758040834,0.0,4.5,5.0,5.0,5.0
ARG3,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
ARG4,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
ARGM-ADV,101.0,2.405940594059406,1.7330794431980447,0.0,1.0,2.0,4.0,5.0
ARGM-CAU,13.0,2.4615384615384617,1.9839096340048947,0.0,1.0,2.0,5.0,5.0
ARGM-DIR,11.0,2.0,2.4083189157584592,0.0,0.0,1.0,5.0,5.0
ARGM-EXT,12.0,3.75,1.6025547785276542,1.0,2.75,4.5,5.0,5.0
ARGM-LOC,21.0,3.761904761904762,1.7292993351285921,0.0,3.0,5.0,5.0,5.0
ARGM-MNR,37.0,4.54054054054054,1.0433544884595018,0.0,5.0,5.0,5.0,5.0
ARGM-PNC,5.0,4.8,0.4472135954999579,4.0,5.0,5.0,5.0,5.0
ARGM-PRP,2.0,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0
ARGM-TMP,81.0,3.9876543209876543,1.5288380159494814,0.0,3.0,5.0,5.0,5.0
V,591.0,2.1725888324873095,1.4072427296476817,0.0,1.0,2.0,3.0,5.0
